ID,text,target,label,clean_text
ynat-v1_train_00000,정i :파1 미사z KT( 이용기간 2e 단] Q분종U2보,4,IT과학,정의 :패밀리 미사용 KT( 이용기간 2개월 단위) Q분종료보
ynat-v1_train_00001,K찰.국DLwo 로L3한N% 회장 2 T0&}송=,3,사회,K찰권 로한 회장 2 번째 송년
ynat-v1_train_00002,"m 김정) 자주통일 새,?r열1나가야1보",2,정치,m 김정자 주주통일 새누리당 나가야 한다
ynat-v1_train_00003,갤노트8 주말 27만대 개통…시장은 불법 보조금 얼룩,5,경제,갤노트8 주말 27만대 개통…시장은 불법 보조금 얼룩
ynat-v1_train_00004,pI美대선I앞두고 R2fr단 발] $비해 감시 강화,6,세계,미국 대선 앞두고 러시아의 발비해 감시 강화
ynat-v1_train_00005,美성인 6명 중 1명꼴 배우자·연인 빚 떠안은 적 있다,0,생활문화,미성년 6명 중 1명꼴 배우자·연인 빚 떠안은 적 있다
ynat-v1_train_00006,프로야구~롯TKIAs광주 경기 y천취소,1,스포츠,프로야구 롯데GIAs 광주 경기 야천 취소
ynat-v1_train_00007,아가메즈 33득점 우리카드 KB손해보험 완파…3위 굳...,4,IT과학,아가메즈 33득점 우리카드 KB손해보험 완패…3위 굳...
ynat-v1_train_00008,朴대통령 얼마나 많이 놀라셨어요…경주 지진현장 방문종합,6,세계,박대통령 얼마나 많이 놀라셨어요…경주 지진 현장 방문 종합
ynat-v1_train_00009,듀얼심 아이폰 하반기 출시설 솔솔…알뜰폰 기대감,4,IT과학,듀얼심 아이폰 하반기 출시설 솔솔…알뜰폰 기대감
ynat-v1_train_00010,oi 매력 R모h츠a열#w3약 >l·주가 고Q/진,5,경제,oi 매력 모멘텀 열약약 >주가 고점
ynat-v1_train_00011,NH투자 1월 옵션 만기일 매도 우세,1,스포츠,NH투자 1월 옵션 만기일 매도 우세
ynat-v1_train_00012,황총리 각 부처 비상대비태세 철저히 강구해야,2,정치,황 총리 각 부처 비상대비 태세 철저히 강구해야
