text,target
"클래식 음악의 매력, 현대 도시 속에서 소리내어 즐기는 시민들의 증가",0
"페루의 광공사, 문화 유산 보존과 홍보를 위한 홀서 공연 확대",0
"안전한 여행을 위한 청항 항공의 노력, 짙은 안개 속에서도 정기 운항",0
"가을 정취 속, 전국 첫 주말에 열리는 다채로운 문화 축제들",0
"자연 속에서 시를 들으며, 시민들의 여가 문화에 새로운 바람 불어",0
"축제의 열기 속, 시원한 여름밤을 만끽하는 관람객들",0
"문화적 가치를 높이기 위한 노력, 오카 한국의 52인치 TV로의 전환",0
"가야금 연주로 마음을 달래는 황병기, 클래식 음악의 힘을 전파",0
"자연 경관 속에서 산천어를 만끽하는 100만 명의 관람객, 축제의 성공",0
"도시 속에서 자연을 만끽하는 시민들의 증가, 야외 활동의 인기에 힘입어",0
"한국 농구리그, 8일 고려대와 중앙대 개막",1
"KBO리그, 신임 사무총장 장윤호 임명 후 첫 승격 경남FC 발표",1
"남북 농경 경기대회, 내일 군용기 출격",1
"SKD 문승산, 센터라인 극복 실패 후 5이닝 4실점",1
"우리은행 박혜진, 연봉 3억 2년 연속 연봉 퀸",1
"대전극 KB손보, 첫 연승 도로공사 IBK에 2-1 승리",1
"플래툰 강정호, 타격 감 유지에 힘들어",1
"스웨덴 여자축구대표팀, 유니폼 문구로 여성 권리 캠페인",1
"김현수 감독, ILLE6 복귀 시점 2년 연기",1
"IT 기업들, 자체 플랫폼 구축에 적극 나서",1
북한의 핵 및 미사일 프로그램에 대한 국제사회의 우려가 지속적으로 커지고 있다.,2
평양 정상회담의 성공 여부에 대한 기대감이 높아지고 있다.,2
북한의 군사 훈련 활동이 지속되고 있음에도 불구하고 대화의 문을 열려는 노력이 계속되고 있다.,2
한반도 정세의 불안정함에도 불구하고 경제 발전을 위한 노력이 지속되고 있다.,2
한국 정부는 북한의 위협에 대비한 비상 대응 체계를 강화하고 있다.,2
미국과 한국은 북한 문제 해결을 위한 협력을 강화하고 있다.,2
북한 내부의 권력 구조 변화에 대한 관심이 높아지고 있다.,2
한국의 대통령은 북한과의 관계 개선을 위한 국민 결집을 당부하고 있다.,2
북한의 금융 시스템 개혁에 대한 논의가 활발히 이루어지고 있다.,2
북한의 위성 발사 활동에 대한 국제사회의 경계심이 높아지고 있다.,2
"한국 기업들, 정부 지원을 통한 사업 확장 추진",3
대기업들의 사회적 책임 강조로 위기 극복 노력,3
"IT 기업들, 자체 플랫폼 구축 및 혁신 추진",3
정부와 기업 간 협력 강화로 경제 성장 기대감 상승,3
여성 인권 문제에 대한 사회적 관심 증대,3
"대기업들, 지역 사회 발전에 적극 기여",3
정부의 과학기술 정책 평가와 발전 방안 모색,3
소비자 보호를 위한 법제 개선 추진,3
기업들의 환경 보호 노력 지속,3
디지털 시대에 걸맞는 뉴미디어 플랫폼 발전 추진,3
"스마트폰 없는 삶, 새로운 가이드북 출간",4
"중소기업의 부채 관리 문제가 심각해지면서, 정부는 부동산 시장 안정화를 위한 대책 마련에 주력",5
"한국의 여성 등반가가 세계 최고봉에 도달, 글로벌 스포츠 관심도 증가",5
"지난 한 달간의 주식 거래량이 감소로 이어지며, 투자자들의 불안 증폭",5
중국의 부동산 시장 위기 속에서 주가 폭락으로 기업들의 가치 하락이 가속화,5
겔신형 주택 시장이 급속히 쇠퇴하면서 가격 하락 전망,5
"롯데 그룹, 글로벌 시장 진출 전략 구축에 성공",5
중소기업의 부채 문제 해결을 위한 정부 지원책 필요성 대두,5
외국인 투자자들의 한국 주식 매도 압력이 지속,5
"사모 투자형 ISA 도입 추진, 증권사에 대한 혜택 확대",5
"코아로직, 부실 채권 문제 해결을 위한 법적 절차 종료 신청",5
중동 지역의 중재자 오만이 국제 외교 활동 강화에 나서고 있다.,6
"미국 법무부, 페이스북의 메시지 서비스 암호화 중단을 강요한다.",6
"트럼프 행정부, 중국과의 협상을 원하나 미국 내부 준비가 부족하다.",6
난민 위기 속에서 유럽은 한파로 인한 난민들의 건강 위기에 직면하고 있다.,6
"터키와 그리스, 오랜 적대관계를 넘어 화해의 길을 모색한다.",6
"터키의 최대 이슬람 사원 참르자, 6년간의 공사 끝에 문을 연다.",6
이란 방문으로 영국과 오만 사이의 외교적 중재 역할을 강조한다.,6
"중국 베이징에서 또 79조명에 달하는 인플루엔자 환자 발생, 감염병 위험 증가.",6
"트럼프의 OMLB 결정에 영향 받은 네수엘라, 겨울철 농산물 공급에 위협.",6
