text,target
제주도의 관광 산업이 설 연휴 기간 동안 큰 성장을 보임,0
한국의 전통 문화 축제들이 국제 무대에서 주목받음,0
수묵 예술의 첫 국제 비엔날레가 9월에 제주도에서 개최,0
제주도의 아름다운 자연 경관이 가족 단위 여행객들에게 인기를 끌음,0
한국의 고전 연극 '장남 가나'가 30년 만에 무대 복귀,0
불교의 역사와 전통에 대한 관심이 고기 섭취 금지에 대한 질문으로 높아짐,0
경주에서 열린 창작썰매 대회에서 참가자들의 열기가 뜨겁게 고조,0
PB 클릭율이 높아지면서 온라인 뉴스 플랫폼의 경쟁 심화,0
백두산과 대간의 가을 하늘이 관광객들의 눈길을 사로잡음,0
베셀러의 삶의 무가 0이 되는 6주째 기념일을 맞이함,0
NBA 서부 콘퍼런스 결승에서 골든스테이트와 휴스턴이 치열한 경쟁을 펼치고 있다.,1
"KBO의 신임 사무총장으로 장윤호가 선임되었으며, KBO스타뉴스의 대표 겸 총괄 역할을 맡게 되었다.",1
"한국 축구 대표팀 감독으로 시코 오가 임명되었고, 월드9천재 사령탑으로 한국을 이끌게 되었다.",1
프로배구에서 한국전력과 에우리카드가 가루32로 역전승을 거뒀다.,1
"FC V 대표팀의 비위가 상당한 것으로 확인되었고, YY구룡의 인식에 대한 논란이 불거졌다.",1
로배구 저축구단의 김5이강주 TF 결승 진출이 확정되었다.,1
또 다른 로배구 저축구단에서도 김5이강주 TF 결승 진출이 확정되었다.,1
브리검과 김성호가 사사구분개남 발언으로 논란에 휩싸였다.,1
류현진의 FA 랭킹 7위에서의 부진이 많은 의문을 제기하고 있다.,1
MLB닷컴에서 개막전 12일 류현진의 등판이 예상됐다.,1
정치적 변화 속에 총리 내각의 재편 필요성 논의가 확산,2
대통령의 국정 지지율 상승 추세 지속될 전망,2
창조경제와 8가지 생명체 개념을 통한 혁신 경제 정책 추진,2
대통령의 결정 후 첫 다자 회의에서 정세 전개 주목,2
다당제 합의 체제를 바탕으로 한 정치의 희망 표현,2
신당 출마 지역구에 특별 투표권 부여를 주장,2
국방과학연구소의 독립성 확보를 위한 요구 제기,2
"통일부 장관의 출근 첫날, 남북관계 관리에 주력",2
북한의 사이버공격 가능성에 대한 대응책 마련 필요,2
내일의 안정당과 국민의당 간 정당 연대 관계의 갈등 관찰,2
정부의 방역 정책 강화에 따른 자동차 제조업의 어려움,3
해외에서 탈출한 외국인의 교통사고 사례가 증가하고 있음,3
"청와대, 이석수 특별감찰관에 대한 수사 의뢰를 공식적으로 밝힘",3
국가보안에 취약한 대우전서스에 대한 국가경비대의 강화된 보안 대응,3
사회 서비스 1급 직원 등 부직원의 명예훼손 사건에 대한 조사 진행 중,3
항우연의 과학기술 발전을 인정받은 과학자에게 올해의 과학자상 수여,3
교통방송의 이강택 대표가 재단의 초대 대표 역할을 맡았던 사실 밝혀짐,3
휴대전화 개통 업무 일일 중단으로 인한 불만이 증폭되고 있음,3
어린이 보호 구역 내에서 운전자의 안전 무모한 행위가 증가하고 있음,3
헬로모바일이 평생 요금제를 도입함에 따라 어르신들의 이용률 상승 기대,3
"IT 기업들, 자율주행차 기술 개발에 적극 나서",4
"스마트폰 업계 경쟁 심화, 새로운 보안 기술 도입 가속화",4
달 착륙 기술 개발 속도 가속화 추진,4
"초신성 폭발 관측 기술 발전, 기록 개선 지속",4
"통신사 간 가입자 유치 경쟁, 혜택 확대 추세",4
"프로야구 체험 존 운영 확대, 팬들과의 접점 증대",4
"최신 스마트폰 카메라 성능, 사용자 기대 이상의 반응",4
"트럭 제조사, 전기차 시장 진출 전략 발표",4
인공지능 기반의 자율주행차 시범 운행 확대 추진,4
"구글의 AI 기술 발전, 얼굴 인식 및 판단 능력 향상",4
"핀테크 기업들, 자체 플랫폼 구축에 힘쓰며 전자상거래 시장 점유율 확대",5
"자동차 업계, 전기차 보급 확대에 맞춰 인프라 구축에 투자",5
AI 기반의 스마트 홈 기기들이 소비자 인식 상승에 기여,5
"유통업계, 온라인 판매 채널 강화로 황금연휴 매출 증가 기대",5
"삼성SDI와 같은 실적 개선 주식들, 지속적인 강세 전망",5
"핀테크 기업들, 보안 강화를 통한 신뢰도 제고 추진",5
코스닥 시장이 2030대 대신 주목받는 가운데 투자자 관심 집중,5
전자상거래 시장의 성장세로 인한 물류 부문의 확대 기대,5
"핀테크 기업들, 국제 시장 진출을 통한 성장 전략 수립",5
원달러 환율 하락에 따른 수출 기업들의 경쟁력 강화 기대,5
"여성 경찰관들, 성폭력 피해자 지원을 위한 새로운 정책 마련",6
"시민들의 목소리 증폭, 시민참여형 정부 구축 주장 확대",6
"트럼프 행정부, 내부 갈등 속에 정책 방향성 모호성 지속",6
"미국 상원, 폼페이오 국무장관의 정치 진출에 찬성 의견 다수 표명",6
실업률 상승에 따른 실업 수당 청구 건수 급증,6
"중동 지역 테러 위협, 팔레스타인 시민의 안전 우려 증대",6
"트럼프 가족 내부 정보 유출, 보안 문제 지속",6
"터키 내전, IS 확대에 따른 민간인 피해 증가",6
"미국 대외정책, 북한에 대한 접근 방식과 이란과의 차이 지속",6
"국제사회, 인권 침해 문제에 대한 인식 강화 추진",6
한국의 공공 도서관 네트워크가 확장되어 편리한 도서 대출 서비스 제공 확대,0
"국내 문화유산의 디지털화 추진, 무형문화재 보존과 홍보에 힘쓰는 노력",0
청년 연극단들이 창작 공연을 통해 독창적인 예술적 도전을 펼치고 있음,0
"40도 이상의 폭염으로 인한 건강 위험 대응, 여름 축제 시 주의 필요",0
전자책 플랫폼 '원스토어'의 유통 수수료 인하로 독서 문화 확산 기대,0
충청남도 산천 명소들이 관광객들의 인기를 끌며 지역 경제 활성화,0
"내일 전국 날씨는 구름 많음과 낮 최고기온 121도, 한파 지속",0
사회학자 백낙청의 '더 나은 세상을 위한 회화록' 67권 출간 기념 행사 개최,0
"알뜰폰' 업체 헬로모바일, 청소년 대상 요금 반값 할인 혜택 확대",0
